Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,74.52466666666668,Soft,McLaren
ALO,3,74.55866666666667,Soft,McLaren
ALO,4,74.515,Soft,McLaren
ALO,5,74.303,Soft,McLaren
ALO,6,74.65733333333333,Soft,McLaren
ALO,7,74.72833333333334,Soft,McLaren
ALO,8,75.19733333333333,Soft,McLaren
ALO,9,75.71233333333333,Soft,McLaren
ALO,10,75.54366666666667,Soft,McLaren
ALO,11,75.346,Soft,McLaren
ALO,12,76.08366666666667,Soft,McLaren
ALO,13,76.07266666666668,Soft,McLaren
ALO,14,75.66000000000001,Soft,McLaren
ALO,15,74.009,Medium,McLaren
ALO,16,76.25,Medium,McLaren
ALO,17,74.973,Medium,McLaren
ALO,18,75.653,Medium,McLaren
ALO,19,75.062,Medium,McLaren
ALO,20,75.169,Medium,McLaren
ALO,21,74.685,Medium,McLaren
ALO,22,76.679,Medium,McLaren
ALO,23,75.39,Medium,McLaren
ALO,24,75.886,Medium,McLaren
ALO,25,74.644,Medium,McLaren
ALO,26,74.916,Medium,McLaren
ALO,29,74.466,Medium,McLaren
ALO,30,74.428,Medium,McLaren
ALO,31,74.698,Medium,McLaren
ALO,32,74.694,Medium,McLaren
ALO,33,74.431,Medium,McLaren
ALO,34,74.29,Medium,McLaren
ALO,35,74.842,Medium,McLaren
ALO,36,75.424,Medium,McLaren
ALO,37,74.618,Medium,McLaren
ALO,38,75.306,Medium,McLaren
BOT,2,72.805,Medium,Mercedes
BOT,3,72.533,Soft,Mercedes
BOT,4,72.439,Medium,Mercedes
BOT,5,73.36466666666666,SUPERSOFT,Mercedes
BOT,6,73.089,SUPERSOFT,Mercedes
BOT,7,73.21633333333334,SUPERSOFT,Mercedes
BOT,8,73.368,SUPERSOFT,Mercedes
BOT,9,73.132,SUPERSOFT,Mercedes
BOT,10,73.54833333333333,SUPERSOFT,Mercedes
BOT,11,73.46833333333333,SUPERSOFT,Mercedes
BOT,12,73.16833333333334,SUPERSOFT,Mercedes
BOT,13,74.6755,SUPERSOFT,Mercedes
BOT,14,74.654,SUPERSOFT,Mercedes
BOT,15,73.9675,SUPERSOFT,Mercedes
BOT,16,73.8355,SUPERSOFT,Mercedes
BOT,17,73.824,SUPERSOFT,Mercedes
BOT,18,73.7875,SUPERSOFT,Mercedes
BOT,19,73.939,SUPERSOFT,Mercedes
BOT,20,73.9645,SUPERSOFT,Mercedes
BOT,21,73.312,Medium,Mercedes
BOT,22,73.283,Medium,Mercedes
BOT,23,73.076,Medium,Mercedes
BOT,24,73.31,Medium,Mercedes
BOT,25,73.916,Medium,Mercedes
BOT,27,73.961,Medium,Mercedes
BOT,28,73.382,Medium,Mercedes
BOT,29,73.248,Medium,Mercedes
BOT,30,72.869,Medium,Mercedes
BOT,31,72.702,Medium,Mercedes
BOT,32,72.444,Medium,Mercedes
BOT,33,72.432,Medium,Mercedes
BOT,34,72.682,Medium,Mercedes
BOT,35,72.289,Medium,Mercedes
BOT,36,72.663,Medium,Mercedes
BOT,37,72.246,Medium,Mercedes
BOT,38,71.939,Medium,Mercedes
BOT,39,72.045,Medium,Mercedes
BOT,40,72.03,Medium,Mercedes
ERI,7,76.762,SUPERSOFT,Sauber
ERI,8,75.281,SUPERSOFT,Sauber
ERI,9,75.54,SUPERSOFT,Sauber
ERI,10,75.37,SUPERSOFT,Sauber
ERI,11,75.889,SUPERSOFT,Sauber
ERI,12,76.118,SUPERSOFT,Sauber
ERI,13,76.516,SUPERSOFT,Sauber
ERI,14,80.043,SUPERSOFT,Sauber
ERI,15,76.659,SUPERSOFT,Sauber
ERI,16,76.311,SUPERSOFT,Sauber
ERI,17,76.303,SUPERSOFT,Sauber
ERI,18,76.394,SUPERSOFT,Sauber
ERI,19,76.207,SUPERSOFT,Sauber
ERI,20,76.41,SUPERSOFT,Sauber
ERI,21,77.314,SUPERSOFT,Sauber
