Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,94.773,Medium,McLaren
ALO,3,95.62450000000001,Soft,McLaren
ALO,4,95.9145,Soft,McLaren
ALO,5,95.36250000000001,Soft,McLaren
ALO,6,95.956,Soft,McLaren
ALO,7,95.782,Soft,McLaren
ALO,8,95.6505,Soft,McLaren
ALO,9,95.4445,Soft,McLaren
ALO,10,95.0305,Soft,McLaren
ALO,11,95.14349999999999,Soft,McLaren
ALO,12,95.5405,Medium,McLaren
ALO,13,94.7345,Medium,McLaren
ALO,14,94.59,Medium,McLaren
ALO,15,94.5385,Medium,McLaren
ALO,16,94.948,Medium,McLaren
ALO,17,94.968,Medium,McLaren
ALO,18,95.001,Medium,McLaren
ALO,19,93.907,Soft,McLaren
ALO,20,93.94,Soft,McLaren
ALO,21,93.522,Soft,McLaren
ALO,22,93.482,Soft,McLaren
BOT,2,92.236,Medium,Mercedes
BOT,3,92.671,Medium,Mercedes
BOT,4,92.95,Medium,Mercedes
BOT,5,93.404,Medium,Mercedes
BOT,6,93.20400000000001,Soft,Mercedes
BOT,7,93.469,Soft,Mercedes
BOT,8,93.163,Soft,Mercedes
BOT,9,93.1675,Soft,Mercedes
BOT,10,93.072,Soft,Mercedes
BOT,11,93.307,Soft,Mercedes
BOT,12,93.606,Soft,Mercedes
BOT,13,93.686,Soft,Mercedes
BOT,14,93.528,Soft,Mercedes
BOT,15,93.995,Soft,Mercedes
BOT,16,94.091,Soft,Mercedes
BOT,17,93.96,Soft,Mercedes
BOT,18,93.794,Soft,Mercedes
BOT,19,94.073,Soft,Mercedes
BOT,20,94.016,Soft,Mercedes
BOT,21,91.873,Medium,Mercedes
BOT,22,91.377,Medium,Mercedes
BOT,23,93.151,Medium,Mercedes
BOT,24,92.233,Medium,Mercedes
BOT,28,94.06,Medium,Mercedes
BOT,29,92.299,Medium,Mercedes
BOT,30,92.209,Medium,Mercedes
BOT,31,92.248,Medium,Mercedes
ERI,2,93.675,Medium,Sauber
ERI,3,95.7065,Soft,Sauber
ERI,4,95.487,Soft,Sauber
ERI,5,95.232,Soft,Sauber
ERI,6,95.3675,Soft,Sauber
ERI,7,95.589,Soft,Sauber
ERI,8,96.291,Soft,Sauber
ERI,9,96.418,Soft,Sauber
ERI,10,96.072,Soft,Sauber
ERI,11,96.053,Soft,Sauber
ERI,12,96.184,Soft,Sauber
ERI,13,95.901,Soft,Sauber
ERI,14,95.483,Soft,Sauber
ERI,15,95.69,Soft,Sauber
ERI,16,95.486,Soft,Sauber
ERI,17,95.251,Soft,Sauber
ERI,20,95.606,Soft,Sauber
ERI,21,95.406,Soft,Sauber
ERI,22,95.281,Soft,Sauber
GAS,2,94.265,Medium,Toro Rosso
GAS,3,95.4405,Soft,Toro Rosso
GAS,4,96.035,Soft,Toro Rosso
GAS,5,95.707,Soft,Toro Rosso
GAS,6,95.648,Soft,Toro Rosso
GAS,7,95.3815,Soft,Toro Rosso
GAS,8,95.363,Soft,Toro Rosso
GAS,9,95.35749999999999,Soft,Toro Rosso
GAS,10,95.0835,Soft,Toro Rosso
GAS,11,95.144,Soft,Toro Rosso
GAS,12,96.153,Soft,Toro Rosso
GAS,13,96.1955,Soft,Toro Rosso
GAS,14,95.00200000000001,Soft,Toro Rosso
GAS,15,94.7575,Soft,Toro Rosso
GAS,16,94.9555,Soft,Toro Rosso
GAS,17,95.163,Soft,Toro Rosso
GAS,20,93.945,Soft,Toro Rosso
GAS,21,94.592,Soft,Toro Rosso
GAS,22,93.596,Soft,Toro Rosso
GAS,23,94.381,Soft,Toro Rosso
GRO,2,94.391,Medium,Haas F1 Team
GRO,3,94.556,Medium,Haas F1 Team
GRO,4,94.672,Medium,Haas F1 Team
GRO,5,94.509,Medium,Haas F1 Team
GRO,6,96.663,Soft,Haas F1 Team
GRO,7,96.167,Soft,Haas F1 Team
GRO,8,96.307,Soft,Haas F1 Team
GRO,9,96.211,Soft,Haas F1 Team
GRO,10,96.088,Soft,Haas F1 Team
GRO,11,96.19,Soft,Haas F1 Team
GRO,12,96.358,Soft,Haas F1 Team
GRO,13,95.889,Soft,Haas F1 Team
GRO,14,96.082,Soft,Haas F1 Team
GRO,15,96.404,Soft,Haas F1 Team
GRO,16,95.946,Soft,Haas F1 Team
GRO,17,95.239,Soft,Haas F1 Team
GRO,18,95.446,Soft,Haas F1 Team
GRO,19,95.071,Soft,Haas F1 Team
GRO,20,95.191,Soft,Haas F1 Team
GRO,23,95.413,Soft,Haas F1 Team
GRO,24,95.309,Soft,Haas F1 Team
GRO,25,94.907,Soft,Haas F1 Team
GRO,26,95.159,Soft,Haas F1 Team
GRO,27,94.974,Soft,Haas F1 Team
HAM,2,92.481,Medium,Mercedes
HAM,3,91.682,Medium,Mercedes
HAM,4,91.546,Medium,Mercedes
HAM,5,92.156,Medium,Mercedes
HAM,6,91.81,Medium,Mercedes
HAM,7,95.173,Soft,Mercedes
HAM,8,94.975,Soft,Mercedes
HAM,9,93.772,Soft,Mercedes
HAM,10,94.131,Soft,Mercedes
HAM,11,93.461,Soft,Mercedes
HAM,12,93.653,Soft,Mercedes
HAM,13,94.523,Soft,Mercedes
HAM,14,93.403,Soft,Mercedes
HAM,15,93.114,Soft,Mercedes
HAM,16,94.233,Soft,Mercedes
HAM,17,92.7945,Soft,Mercedes
HAM,18,92.7905,Soft,Mercedes
HAM,19,92.9235,Soft,Mercedes
HAM,20,92.9175,Soft,Mercedes
HAM,21,92.93,Soft,Mercedes
HAM,24,91.269,Medium,Mercedes
HAM,25,92.711,Soft,Mercedes
HAM,26,93.31700000000001,Soft,Mercedes
HAM,27,92.9325,Soft,Mercedes
HUL,2,95.281,Hard,Renault
HUL,3,95.2655,Medium,Renault
HUL,4,95.46600000000001,Medium,Renault
HUL,5,95.62450000000001,Medium,Renault
HUL,6,95.523,Medium,Renault
HUL,7,95.525,Medium,Renault
HUL,8,95.4135,Medium,Renault
HUL,9,95.81049999999999,Medium,Renault
HUL,10,95.1225,Medium,Renault
HUL,11,95.1495,Medium,Renault
