Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,77.042,SUPERSOFT,McLaren
ALO,3,76.86,SUPERSOFT,McLaren
ALO,4,78.4935,ULTRASOFT,McLaren
ALO,5,77.87,ULTRASOFT,McLaren
ALO,6,76.975,ULTRASOFT,McLaren
ALO,7,77.336,ULTRASOFT,McLaren
ALO,8,77.59,ULTRASOFT,McLaren
ALO,9,77.41,ULTRASOFT,McLaren
ALO,10,77.15950000000001,ULTRASOFT,McLaren
ALO,11,77.031,ULTRASOFT,McLaren
ALO,12,77.2685,ULTRASOFT,McLaren
ALO,13,76.9835,ULTRASOFT,McLaren
ALO,14,76.832,ULTRASOFT,McLaren
ALO,15,76.88,ULTRASOFT,McLaren
ALO,16,76.873,ULTRASOFT,McLaren
ALO,17,76.37,SUPERSOFT,McLaren
ALO,18,76.271,SUPERSOFT,McLaren
ALO,19,76.331,SUPERSOFT,McLaren
ALO,20,76.298,SUPERSOFT,McLaren
ALO,21,76.394,SUPERSOFT,McLaren
ALO,22,78.944,SUPERSOFT,McLaren
BOT,2,74.512,SUPERSOFT,Mercedes
BOT,3,74.976,SUPERSOFT,Mercedes
BOT,4,74.663,SUPERSOFT,Mercedes
BOT,5,74.67,SUPERSOFT,Mercedes
BOT,6,74.882,SUPERSOFT,Mercedes
BOT,7,76.02250000000001,ULTRASOFT,Mercedes
BOT,8,75.769,ULTRASOFT,Mercedes
BOT,9,75.362,ULTRASOFT,Mercedes
BOT,10,75.4425,ULTRASOFT,Mercedes
BOT,11,75.52250000000001,ULTRASOFT,Mercedes
BOT,12,75.549,ULTRASOFT,Mercedes
BOT,13,75.46549999999999,ULTRASOFT,Mercedes
BOT,14,75.014,ULTRASOFT,Mercedes
BOT,15,74.934,ULTRASOFT,Mercedes
BOT,16,74.8045,ULTRASOFT,Mercedes
BOT,17,74.968,ULTRASOFT,Mercedes
BOT,18,74.88300000000001,ULTRASOFT,Mercedes
BOT,19,74.9145,ULTRASOFT,Mercedes
BOT,20,76.08449999999999,ULTRASOFT,Mercedes
BOT,21,74.99549999999999,ULTRASOFT,Mercedes
BOT,22,75.213,ULTRASOFT,Mercedes
BOT,23,75.02850000000001,ULTRASOFT,Mercedes
BOT,24,75.189,ULTRASOFT,Mercedes
BOT,25,74.94800000000001,ULTRASOFT,Mercedes
BOT,26,75.0095,ULTRASOFT,Mercedes
BOT,27,75.0825,ULTRASOFT,Mercedes
BOT,28,75.278,ULTRASOFT,Mercedes
BOT,29,75.0685,ULTRASOFT,Mercedes
BOT,30,75.0215,ULTRASOFT,Mercedes
BOT,31,74.931,ULTRASOFT,Mercedes
BOT,32,75.194,ULTRASOFT,Mercedes
BOT,33,74.9555,ULTRASOFT,Mercedes
BOT,34,75.47200000000001,ULTRASOFT,Mercedes
BOT,35,76.569,ULTRASOFT,Mercedes
BOT,36,76.099,ULTRASOFT,Mercedes
BOT,37,75.957,ULTRASOFT,Mercedes
ERI,4,83.12,SUPERSOFT,Sauber
ERI,5,80.581,SUPERSOFT,Sauber
ERI,6,79.23,SUPERSOFT,Sauber
ERI,7,79.181,SUPERSOFT,Sauber
ERI,8,78.711,SUPERSOFT,Sauber
ERI,9,78.573,SUPERSOFT,Sauber
ERI,10,78.519,SUPERSOFT,Sauber
ERI,11,79.006,SUPERSOFT,Sauber
ERI,12,78.556,SUPERSOFT,Sauber
ERI,13,78.683,SUPERSOFT,Sauber
ERI,14,78.27,SUPERSOFT,Sauber
ERI,15,78.201,SUPERSOFT,Sauber
ERI,16,78.506,SUPERSOFT,Sauber
ERI,17,78.153,SUPERSOFT,Sauber
ERI,18,79.291,SUPERSOFT,Sauber
ERI,19,78.709,SUPERSOFT,Sauber
ERI,20,78.426,SUPERSOFT,Sauber
ERI,21,78.422,SUPERSOFT,Sauber
ERI,22,78.098,SUPERSOFT,Sauber
ERI,23,77.71,SUPERSOFT,Sauber
ERI,24,78.734,SUPERSOFT,Sauber
ERI,25,79.483,SUPERSOFT,Sauber
ERI,26,79.415,SUPERSOFT,Sauber
ERI,27,78.069,SUPERSOFT,Sauber
ERI,28,77.945,SUPERSOFT,Sauber
ERI,29,77.863,SUPERSOFT,Sauber
ERI,30,77.658,SUPERSOFT,Sauber
ERI,31,77.913,SUPERSOFT,Sauber
ERI,32,77.802,SUPERSOFT,Sauber
ERI,33,77.682,SUPERSOFT,Sauber
ERI,34,77.559,SUPERSOFT,Sauber
ERI,35,77.712,SUPERSOFT,Sauber
ERI,36,78.383,SUPERSOFT,Sauber
ERI,37,79.179,SUPERSOFT,Sauber
ERI,38,80.281,SUPERSOFT,Sauber
ERI,39,77.637,SUPERSOFT,Sauber
ERI,40,77.419,SUPERSOFT,Sauber
ERI,41,77.095,SUPERSOFT,Sauber
ERI,42,77.298,SUPERSOFT,Sauber
ERI,43,77.031,SUPERSOFT,Sauber
ERI,44,76.749,SUPERSOFT,Sauber
ERI,45,76.716,SUPERSOFT,Sauber
ERI,46,76.686,SUPERSOFT,Sauber
ERI,47,76.581,SUPERSOFT,Sauber
ERI,48,76.797,SUPERSOFT,Sauber
ERI,49,76.582,SUPERSOFT,Sauber
ERI,50,76.682,SUPERSOFT,Sauber
ERI,51,76.777,SUPERSOFT,Sauber
ERI,52,76.437,SUPERSOFT,Sauber
ERI,53,76.824,SUPERSOFT,Sauber
ERI,54,76.492,SUPERSOFT,Sauber
ERI,55,76.649,SUPERSOFT,Sauber
ERI,56,76.801,SUPERSOFT,Sauber
ERI,57,76.52,SUPERSOFT,Sauber
ERI,58,76.763,SUPERSOFT,Sauber
ERI,59,76.752,SUPERSOFT,Sauber
ERI,60,76.526,SUPERSOFT,Sauber
ERI,61,76.403,SUPERSOFT,Sauber
ERI,62,78.176,SUPERSOFT,Sauber
ERI,63,77.301,SUPERSOFT,Sauber
ERI,64,76.676,SUPERSOFT,Sauber
ERI,65,78.478,SUPERSOFT,Sauber
ERI,66,76.772,SUPERSOFT,Sauber
ERI,67,76.579,SUPERSOFT,Sauber
GAS,2,76.633,SUPERSOFT,Toro Rosso
GAS,3,76.602,SUPERSOFT,Toro Rosso
GAS,4,79.001,HYPERSOFT,Toro Rosso
GAS,5,77.55449999999999,HYPERSOFT,Toro Rosso
GAS,6,77.21950000000001,HYPERSOFT,Toro Rosso
GAS,7,77.39699999999999,HYPERSOFT,Toro Rosso
GAS,8,77.074,HYPERSOFT,Toro Rosso
GAS,9,77.5,HYPERSOFT,Toro Rosso
GAS,10,77.8805,HYPERSOFT,Toro Rosso
GAS,11,77.20750000000001,HYPERSOFT,Toro Rosso
GAS,12,77.24199999999999,HYPERSOFT,Toro Rosso
GAS,13,76.926,HYPERSOFT,Toro Rosso
GAS,14,77.294,HYPERSOFT,Toro Rosso
GAS,15,76.96549999999999,HYPERSOFT,Toro Rosso
GAS,16,76.90799999999999,HYPERSOFT,Toro Rosso
GAS,17,76.69399999999999,HYPERSOFT,Toro Rosso
GAS,18,76.9665,HYPERSOFT,Toro Rosso
GAS,19,76.7105,HYPERSOFT,Toro Rosso
GAS,20,76.67750000000001,HYPERSOFT,Toro Rosso
GAS,21,77.497,HYPERSOFT,Toro Rosso
GAS,22,76.571,SUPERSOFT,Toro Rosso
GAS,23,76.332,SUPERSOFT,Toro Rosso
GAS,24,77.623,SUPERSOFT,Toro Rosso
GAS,25,76.051,SUPERSOFT,Toro Rosso
GAS,26,77.999,SUPERSOFT,Toro Rosso
GAS,27,76.473,SUPERSOFT,Toro Rosso
GAS,28,76.315,SUPERSOFT,Toro Rosso
GAS,29,76.173,SUPERSOFT,Toro Rosso
GAS,30,77.356,SUPERSOFT,Toro Rosso
GAS,31,77.37,SUPERSOFT,Toro Rosso
GAS,32,76.703,SUPERSOFT,Toro Rosso
GAS,33,77.562,SUPERSOFT,Toro Rosso
GAS,34,75.841,SUPERSOFT,Toro Rosso
GAS,35,76.002,SUPERSOFT,Toro Rosso
GAS,36,76.276,SUPERSOFT,Toro Rosso
GAS,37,76.274,SUPERSOFT,Toro Rosso
GAS,38,76.155,SUPERSOFT,Toro Rosso
GAS,39,76.057,SUPERSOFT,Toro Rosso
GAS,40,76.018,SUPERSOFT,Toro Rosso
GAS,41,75.752,SUPERSOFT,Toro Rosso
