Driver,TyreLife,AvgLapTime,Compound,Team
ALO,1,97.657,Medium,McLaren
ALO,2,97.84,Medium,McLaren
ALO,3,97.386,Medium,McLaren
ALO,4,97.448,Medium,McLaren
ALO,5,97.414,Medium,McLaren
ALO,6,97.826,Medium,McLaren
ALO,7,98.19,Medium,McLaren
ALO,8,97.451,Medium,McLaren
ALO,9,97.234,Medium,McLaren
ALO,35,100.202,Soft,McLaren
ALO,36,99.183,Soft,McLaren
ALO,37,98.636,Soft,McLaren
ALO,38,97.961,Soft,McLaren
ALO,39,98.407,Soft,McLaren
ALO,40,98.543,Soft,McLaren
ALO,41,99.19,Soft,McLaren
ALO,43,98.648,Soft,McLaren
ALO,44,98.36,Soft,McLaren
ALO,45,98.107,Soft,McLaren
ALO,46,98.699,Soft,McLaren
BOT,1,97.186,Medium,Mercedes
BOT,2,97.278,Medium,Mercedes
BOT,3,96.987,Medium,Mercedes
BOT,4,97.228,Medium,Mercedes
BOT,5,97.341,Medium,Mercedes
BOT,6,97.291,Medium,Mercedes
BOT,7,97.07,Medium,Mercedes
BOT,8,97.206,Medium,Mercedes
BOT,9,97.235,Medium,Mercedes
BOT,38,97.716,Soft,Mercedes
BOT,39,97.675,Soft,Mercedes
BOT,40,97.841,Soft,Mercedes
BOT,41,97.775,Soft,Mercedes
BOT,42,97.788,Soft,Mercedes
BOT,43,97.561,Soft,Mercedes
BOT,44,97.533,Soft,Mercedes
BOT,46,97.138,Soft,Mercedes
BOT,47,98.909,Soft,Mercedes
BOT,48,97.683,Soft,Mercedes
BOT,49,97.168,Soft,Mercedes
ERI,1,98.723,Medium,Sauber
ERI,2,98.574,Medium,Sauber
ERI,3,98.774,Medium,Sauber
ERI,4,98.435,Medium,Sauber
ERI,5,98.696,Medium,Sauber
ERI,6,98.386,Medium,Sauber
ERI,7,98.535,Medium,Sauber
ERI,8,98.551,Medium,Sauber
ERI,9,98.926,Medium,Sauber
ERI,10,99.212,Medium,Sauber
ERI,35,100.153,Soft,Sauber
ERI,36,100.246,Soft,Sauber
ERI,37,100.896,Soft,Sauber
ERI,38,99.888,Soft,Sauber
ERI,39,99.682,Soft,Sauber
ERI,40,98.691,Soft,Sauber
ERI,41,98.871,Soft,Sauber
ERI,43,99.341,Soft,Sauber
ERI,44,99.024,Soft,Sauber
ERI,45,98.705,Soft,Sauber
GAS,1,98.8765,Soft,Toro Rosso
GAS,2,98.818,ULTRASOFT,Toro Rosso
GAS,3,98.741,ULTRASOFT,Toro Rosso
GAS,4,99.423,ULTRASOFT,Toro Rosso
GAS,5,98.447,ULTRASOFT,Toro Rosso
GAS,6,99.015,ULTRASOFT,Toro Rosso
GAS,7,98.367,ULTRASOFT,Toro Rosso
GAS,8,98.764,ULTRASOFT,Toro Rosso
GAS,9,98.916,ULTRASOFT,Toro Rosso
GAS,29,100.749,Medium,Toro Rosso
GAS,35,102.461,Medium,Toro Rosso
GAS,36,101.631,Medium,Toro Rosso
GAS,37,100.225,Medium,Toro Rosso
GAS,38,99.098,Medium,Toro Rosso
GAS,39,99.285,Medium,Toro Rosso
GAS,40,99.102,Medium,Toro Rosso
GAS,41,99.228,Medium,Toro Rosso
GAS,43,99.36,Medium,Toro Rosso
GAS,44,98.989,Medium,Toro Rosso
GAS,45,99.199,Medium,Toro Rosso
GRO,2,97.712,Medium,Haas F1 Team
GRO,3,98.1,Medium,Haas F1 Team
GRO,4,98.058,Medium,Haas F1 Team
GRO,5,97.41,Medium,Haas F1 Team
GRO,6,97.483,Medium,Haas F1 Team
GRO,7,97.811,Medium,Haas F1 Team
GRO,8,98.221,Medium,Haas F1 Team
GRO,9,97.659,Medium,Haas F1 Team
GRO,10,97.99,Medium,Haas F1 Team
GRO,38,101.973,ULTRASOFT,Haas F1 Team
GRO,39,99.913,ULTRASOFT,Haas F1 Team
GRO,40,99.503,ULTRASOFT,Haas F1 Team
GRO,41,99.01,ULTRASOFT,Haas F1 Team
GRO,42,98.787,ULTRASOFT,Haas F1 Team
GRO,43,98.944,ULTRASOFT,Haas F1 Team
GRO,44,98.776,ULTRASOFT,Haas F1 Team
GRO,46,98.704,ULTRASOFT,Haas F1 Team
GRO,47,99.96,ULTRASOFT,Haas F1 Team
HAM,1,97.147,Medium,Mercedes
HAM,2,98.405,Medium,Mercedes
HAM,3,97.301,Medium,Mercedes
HAM,4,97.206,Medium,Mercedes
HAM,5,97.16,Medium,Mercedes
HAM,6,97.194,Medium,Mercedes
HAM,7,98.081,Medium,Mercedes
HAM,8,96.978,Medium,Mercedes
HAM,9,97.512,Medium,Mercedes
HAM,10,97.75,Medium,Mercedes
HAM,38,98.863,Soft,Mercedes
HAM,39,97.622,Soft,Mercedes
HAM,40,97.623,Soft,Mercedes
HAM,41,98.224,Soft,Mercedes
HAM,42,98.252,Soft,Mercedes
HAM,43,97.855,Soft,Mercedes
HAM,44,98.805,Soft,Mercedes
HAM,46,97.525,Soft,Mercedes
HAM,47,97.471,Soft,Mercedes
HAM,48,97.099,Soft,Mercedes
HAR,1,99.971,Soft,Toro Rosso
HAR,2,99.888,Soft,Toro Rosso
HAR,3,100.786,Soft,Toro Rosso
HAR,4,99.376,Soft,Toro Rosso
HAR,35,100.136,ULTRASOFT,Toro Rosso
HAR,36,100.408,ULTRASOFT,Toro Rosso
HAR,37,100.27,ULTRASOFT,Toro Rosso
HAR,38,100.165,ULTRASOFT,Toro Rosso
HAR,39,100.17,ULTRASOFT,Toro Rosso
HAR,40,99.881,ULTRASOFT,Toro Rosso
HAR,41,99.958,ULTRASOFT,Toro Rosso
HAR,43,100.045,ULTRASOFT,Toro Rosso
HAR,44,100.17,ULTRASOFT,Toro Rosso
HAR,45,99.854,ULTRASOFT,Toro Rosso
HUL,1,97.475,Medium,Renault
HUL,2,97.652,Soft,Renault
HUL,3,97.793,Soft,Renault
HUL,4,97.394,Soft,Renault
HUL,5,97.401,Soft,Renault
HUL,6,97.198,Soft,Renault
HUL,7,96.977,Soft,Renault
HUL,8,96.95,Soft,Renault
HUL,9,96.881,Soft,Renault
HUL,38,98.525,ULTRASOFT,Renault
HUL,39,98.648,ULTRASOFT,Renault
HUL,40,98.591,ULTRASOFT,Renault
HUL,41,98.358,ULTRASOFT,Renault
HUL,42,98.022,ULTRASOFT,Renault
HUL,43,97.819,ULTRASOFT,Renault
HUL,44,98.479,ULTRASOFT,Renault
HUL,46,97.972,ULTRASOFT,Renault
HUL,47,98.465,ULTRASOFT,Renault
HUL,48,97.729,ULTRASOFT,Renault
LEC,1,100.026,Medium,Sauber
LEC,2,99.628,Medium,Sauber
LEC,3,100.799,Medium,Sauber
LEC,4,99.982,Medium,Sauber
LEC,5,99.852,Medium,Sauber
LEC,6,100.028,Medium,Sauber
LEC,7,99.859,Medium,Sauber
LEC,8,99.885,Medium,Sauber
LEC,9,99.924,Medium,Sauber
LEC,10,100.25,Medium,Sauber
LEC,35,100.384,Soft,Sauber
LEC,36,100.416,Soft,Sauber
LEC,37,100.655,Soft,Sauber
LEC,38,100.009,Soft,Sauber
LEC,39,100.887,Soft,Sauber
LEC,40,100.046,Soft,Sauber
LEC,41,99.843,Soft,Sauber
LEC,43,100.111,Soft,Sauber
LEC,44,99.749,Soft,Sauber
LEC,45,99.926,Soft,Sauber
MAG,1,98.999,Medium,Haas F1 Team
MAG,2,99.969,Medium,Haas F1 Team
MAG,3,99.037,Medium,Haas F1 Team
MAG,4,98.511,Medium,Haas F1 Team
MAG,5,98.374,Medium,Haas F1 Team
MAG,6,98.18,Medium,Haas F1 Team
MAG,7,98.439,Medium,Haas F1 Team
MAG,8,98.152,Medium,Haas F1 Team
MAG,9,98.334,Medium,Haas F1 Team
MAG,10,98.633,Medium,Haas F1 Team
MAG,39,100.229,Soft,Haas F1 Team
MAG,40,99.13,Soft,Haas F1 Team
MAG,41,98.807,Soft,Haas F1 Team
MAG,42,98.231,Soft,Haas F1 Team
MAG,43,98.198,Soft,Haas F1 Team
MAG,44,98.939,Soft,Haas F1 Team
MAG,45,98.694,Soft,Haas F1 Team
MAG,47,98.501,Soft,Haas F1 Team
MAG,48,98.476,Soft,Haas F1 Team
MAG,49,98.274,Soft,Haas F1 Team
OCO,1,98.0,Soft,Force India
OCO,2,98.24,ULTRASOFT,Force India
OCO,3,98.078,ULTRASOFT,Force India
OCO,4,98.259,ULTRASOFT,Force India
OCO,5,99.44,ULTRASOFT,Force India
OCO,6,98.934,ULTRASOFT,Force India
OCO,7,98.17,ULTRASOFT,Force India
OCO,8,98.382,ULTRASOFT,Force India
OCO,9,98.763,ULTRASOFT,Force India
OCO,35,101.266,Soft,Force India
OCO,36,100.271,Soft,Force India
OCO,37,99.379,Soft,Force India
OCO,38,99.427,Soft,Force India
OCO,39,98.748,Soft,Force India
OCO,40,98.783,Soft,Force India
OCO,41,98.74,Soft,Force India
OCO,43,98.598,Soft,Force India
OCO,44,98.821,Soft,Force India
OCO,45,98.035,Soft,Force India
PER,1,98.112,Soft,Force India
PER,2,98.042,Soft,Force India
PER,3,97.939,Soft,Force India
PER,4,98.36,Soft,Force India
PER,5,98.123,Soft,Force India
PER,6,98.23,Soft,Force India
PER,7,97.673,Soft,Force India
PER,8,98.094,Soft,Force India
PER,9,101.593,Soft,Force India
PER,38,101.21,ULTRASOFT,Force India
PER,39,100.062,ULTRASOFT,Force India
PER,40,99.287,ULTRASOFT,Force India
PER,41,99.297,ULTRASOFT,Force India
PER,42,98.95,ULTRASOFT,Force India
PER,43,98.582,ULTRASOFT,Force India
PER,44,98.835,ULTRASOFT,Force India
PER,46,98.665,ULTRASOFT,Force India
PER,47,99.014,ULTRASOFT,Force India
PER,48,97.882,ULTRASOFT,Force India
RAI,1,96.456,Medium,Ferrari
RAI,2,96.675,Medium,Ferrari
RAI,3,96.67,Medium,Ferrari
RAI,4,97.354,Medium,Ferrari
RAI,5,97.13,Medium,Ferrari
RAI,6,97.351,Medium,Ferrari
RAI,7,97.26,Medium,Ferrari
RAI,8,97.269,Medium,Ferrari
RAI,9,97.144,Medium,Ferrari
RAI,38,99.019,Soft,Ferrari
RAI,39,98.991,Soft,Ferrari
RAI,40,97.942,Soft,Ferrari
RAI,41,97.778,Soft,Ferrari
RAI,42,98.102,Soft,Ferrari
RAI,43,97.369,Soft,Ferrari
RAI,44,97.398,Soft,Ferrari
RAI,46,97.031,Soft,Ferrari
RAI,47,96.866,Soft,Ferrari
RAI,48,96.883,Soft,Ferrari
RAI,49,96.673,Soft,Ferrari
RIC,1,97.238,Soft,Red Bull Racing
RIC,2,97.019,Soft,Red Bull Racing
RIC,3,96.833,Soft,Red Bull Racing
RIC,4,96.728,Soft,Red Bull Racing
RIC,5,96.772,Soft,Red Bull Racing
RIC,6,96.587,Soft,Red Bull Racing
