Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,95.133,ULTRASOFT,McLaren
ALO,6,99.578,Soft,McLaren
ALO,7,99.608,Soft,McLaren
ALO,8,100.848,Soft,McLaren
ALO,9,101.464,Soft,McLaren
ALO,10,100.702,Soft,McLaren
ALO,11,100.156,Soft,McLaren
ALO,12,99.909,Soft,McLaren
ALO,13,100.042,Soft,McLaren
ALO,14,99.822,Soft,McLaren
ALO,15,99.689,Soft,McLaren
ALO,16,99.547,Soft,McLaren
ALO,17,98.984,Soft,McLaren
ALO,18,99.206,Soft,McLaren
ALO,19,98.799,Soft,McLaren
ALO,20,99.003,Soft,McLaren
ALO,21,98.877,Soft,McLaren
ALO,22,98.518,Soft,McLaren
ALO,23,98.431,Soft,McLaren
ALO,24,98.352,Soft,McLaren
ALO,25,98.439,Soft,McLaren
ALO,26,98.949,Soft,McLaren
ALO,27,98.35,Soft,McLaren
ALO,28,99.338,Soft,McLaren
ALO,29,98.608,Soft,McLaren
ALO,30,98.749,Soft,McLaren
ALO,31,98.624,Soft,McLaren
ALO,32,98.202,Soft,McLaren
ALO,33,98.278,Soft,McLaren
ALO,34,98.916,Soft,McLaren
ALO,35,98.518,Soft,McLaren
ALO,36,98.506,Soft,McLaren
ALO,37,98.953,Soft,McLaren
ALO,38,98.802,Soft,McLaren
ALO,39,100.172,Soft,McLaren
ALO,40,98.834,Soft,McLaren
ALO,41,100.101,Soft,McLaren
ALO,42,99.677,Soft,McLaren
ALO,43,99.177,Soft,McLaren
ALO,44,100.723,Soft,McLaren
BOT,2,94.225,SUPERSOFT,Mercedes
BOT,3,95.147,SUPERSOFT,Mercedes
BOT,4,95.728,SUPERSOFT,Mercedes
BOT,5,95.298,SUPERSOFT,Mercedes
BOT,6,98.441,Soft,Mercedes
BOT,7,98.176,Soft,Mercedes
BOT,8,97.504,Soft,Mercedes
BOT,9,97.874,Soft,Mercedes
BOT,10,97.27199999999999,Soft,Mercedes
BOT,11,98.93,Soft,Mercedes
BOT,12,98.411,Soft,Mercedes
BOT,13,99.345,Soft,Mercedes
BOT,14,99.809,Soft,Mercedes
BOT,15,98.113,Soft,Mercedes
BOT,16,98.665,Soft,Mercedes
BOT,17,98.544,Soft,Mercedes
BOT,18,98.506,Soft,Mercedes
BOT,19,98.045,Soft,Mercedes
BOT,20,97.574,Soft,Mercedes
BOT,21,97.42,Soft,Mercedes
BOT,22,97.629,Soft,Mercedes
BOT,23,98.371,Soft,Mercedes
BOT,24,98.519,Soft,Mercedes
BOT,25,98.393,Soft,Mercedes
BOT,26,98.263,Soft,Mercedes
BOT,27,97.759,Soft,Mercedes
BOT,28,97.408,Soft,Mercedes
BOT,29,97.123,Soft,Mercedes
BOT,30,97.061,Soft,Mercedes
BOT,31,97.268,Soft,Mercedes
BOT,32,97.112,Soft,Mercedes
BOT,33,96.932,Soft,Mercedes
BOT,34,97.214,Soft,Mercedes
BOT,35,96.19,Soft,Mercedes
BOT,36,96.459,Soft,Mercedes
BOT,37,96.456,Soft,Mercedes
ERI,2,96.494,ULTRASOFT,Sauber
ERI,3,98.768,ULTRASOFT,Sauber
ERI,4,97.021,ULTRASOFT,Sauber
ERI,5,97.161,ULTRASOFT,Sauber
ERI,6,99.6345,SUPERSOFT,Sauber
ERI,7,100.33,SUPERSOFT,Sauber
ERI,8,101.6575,SUPERSOFT,Sauber
ERI,9,100.2365,SUPERSOFT,Sauber
ERI,10,100.3075,SUPERSOFT,Sauber
ERI,11,100.285,SUPERSOFT,Sauber
ERI,12,99.584,SUPERSOFT,Sauber
ERI,13,98.9565,SUPERSOFT,Sauber
ERI,14,99.503,SUPERSOFT,Sauber
ERI,15,99.349,SUPERSOFT,Sauber
ERI,16,99.565,SUPERSOFT,Sauber
ERI,17,99.345,SUPERSOFT,Sauber
ERI,18,98.898,SUPERSOFT,Sauber
ERI,19,98.82,SUPERSOFT,Sauber
ERI,20,98.967,SUPERSOFT,Sauber
ERI,21,99.039,SUPERSOFT,Sauber
ERI,22,99.058,SUPERSOFT,Sauber
ERI,23,98.837,SUPERSOFT,Sauber
ERI,24,98.552,SUPERSOFT,Sauber
ERI,25,98.765,SUPERSOFT,Sauber
ERI,26,99.462,SUPERSOFT,Sauber
