Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,80.144,Medium,McLaren
ALO,3,79.341,Medium,McLaren
ALO,4,80.254,Medium,McLaren
ALO,5,81.232,Medium,McLaren
ALO,6,79.126,Medium,McLaren
ALO,7,79.646,Medium,McLaren
ALO,8,80.653,Medium,McLaren
ALO,9,80.313,Medium,McLaren
ALO,10,79.087,Medium,McLaren
ALO,11,78.572,Medium,McLaren
ALO,13,81.082,Soft,McLaren
ALO,14,81.995,Soft,McLaren
ALO,15,79.093,Soft,McLaren
ALO,16,77.741,Soft,McLaren
ALO,17,78.487,Soft,McLaren
ALO,18,79.859,Soft,McLaren
ALO,19,78.057,Soft,McLaren
ALO,20,78.332,Soft,McLaren
ALO,29,82.265,Soft,McLaren
BOT,3,77.787,Soft,Mercedes
BOT,4,77.727,Soft,Mercedes
BOT,5,77.403,Soft,Mercedes
BOT,6,77.578,Soft,Mercedes
BOT,7,77.1125,Soft,Mercedes
BOT,8,76.99549999999999,Soft,Mercedes
BOT,9,77.4405,Soft,Mercedes
BOT,10,77.418,Soft,Mercedes
BOT,11,77.12100000000001,Soft,Mercedes
BOT,12,76.59450000000001,Soft,Mercedes
BOT,13,76.517,Soft,Mercedes
BOT,14,76.87100000000001,Soft,Mercedes
BOT,15,76.955,Soft,Mercedes
BOT,16,77.606,Soft,Mercedes
BOT,17,78.222,Soft,Mercedes
BOT,18,81.822,Soft,Mercedes
BOT,19,80.37,Soft,Mercedes
BOT,22,82.063,Soft,Mercedes
ERI,2,78.589,ULTRASOFT,Sauber
ERI,3,79.293,ULTRASOFT,Sauber
ERI,4,79.005,ULTRASOFT,Sauber
ERI,5,78.918,ULTRASOFT,Sauber
ERI,6,80.382,ULTRASOFT,Sauber
ERI,7,80.977,ULTRASOFT,Sauber
ERI,8,79.639,ULTRASOFT,Sauber
ERI,11,84.396,ULTRASOFT,Sauber
ERI,20,79.797,ULTRASOFT,Sauber
ERI,21,78.797,ULTRASOFT,Sauber
ERI,22,78.858,ULTRASOFT,Sauber
ERI,23,78.627,ULTRASOFT,Sauber
ERI,24,78.611,ULTRASOFT,Sauber
ERI,25,78.156,ULTRASOFT,Sauber
ERI,26,78.893,ULTRASOFT,Sauber
ERI,27,77.745,ULTRASOFT,Sauber
ERI,28,78.057,ULTRASOFT,Sauber
ERI,29,79.771,Soft,Sauber
ERI,30,80.418,Soft,Sauber
ERI,31,79.734,Soft,Sauber
ERI,32,80.832,Soft,Sauber
ERI,33,80.803,Soft,Sauber
ERI,34,79.967,Soft,Sauber
ERI,35,79.591,Soft,Sauber
ERI,36,79.866,Soft,Sauber
GAS,11,84.184,ULTRASOFT,Toro Rosso
GAS,12,80.669,ULTRASOFT,Toro Rosso
GAS,13,78.584,ULTRASOFT,Toro Rosso
GAS,14,78.336,ULTRASOFT,Toro Rosso
GAS,15,78.121,ULTRASOFT,Toro Rosso
GAS,16,78.77,ULTRASOFT,Toro Rosso
GAS,17,78.256,ULTRASOFT,Toro Rosso
GAS,18,78.148,ULTRASOFT,Toro Rosso
GAS,19,78.442,ULTRASOFT,Toro Rosso
GAS,20,77.762,ULTRASOFT,Toro Rosso
GAS,29,79.736,Soft,Toro Rosso
GAS,30,79.485,Soft,Toro Rosso
GAS,31,79.189,Soft,Toro Rosso
GAS,32,79.417,Soft,Toro Rosso
GAS,33,79.439,Soft,Toro Rosso
GAS,34,82.126,Soft,Toro Rosso
GAS,35,79.956,Soft,Toro Rosso
GAS,36,80.851,Soft,Toro Rosso
GAS,37,80.72,Soft,Toro Rosso
GAS,38,79.963,Soft,Toro Rosso
GAS,39,81.802,Soft,Toro Rosso
GAS,40,81.329,Soft,Toro Rosso
GAS,41,80.87,Soft,Toro Rosso
GRO,5,80.177,ULTRASOFT,Haas F1 Team
GRO,6,78.715,ULTRASOFT,Haas F1 Team
GRO,7,78.336,ULTRASOFT,Haas F1 Team
GRO,8,78.122,ULTRASOFT,Haas F1 Team
GRO,9,78.726,Medium,Haas F1 Team
GRO,10,78.679,Medium,Haas F1 Team
GRO,11,78.2985,Medium,Haas F1 Team
GRO,12,78.56049999999999,Medium,Haas F1 Team
GRO,13,77.727,Medium,Haas F1 Team
GRO,14,77.97149999999999,Medium,Haas F1 Team
GRO,15,78.662,Medium,Haas F1 Team
GRO,16,78.904,Medium,Haas F1 Team
GRO,17,79.007,Medium,Haas F1 Team
GRO,18,78.787,Medium,Haas F1 Team
GRO,19,78.815,Medium,Haas F1 Team
