Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,84.237,Medium,McLaren
ALO,3,84.575,Medium,McLaren
ALO,4,84.481,Medium,McLaren
ALO,5,85.706,Medium,McLaren
ALO,6,82.582,Medium,McLaren
ALO,7,84.327,Soft,McLaren
ALO,8,84.462,Soft,McLaren
ALO,9,84.3115,Soft,McLaren
ALO,10,84.22399999999999,Soft,McLaren
ALO,11,84.71,Soft,McLaren
ALO,12,84.938,Soft,McLaren
ALO,13,83.581,Soft,McLaren
ALO,14,83.54599999999999,Soft,McLaren
ALO,15,84.17750000000001,Soft,McLaren
ALO,16,85.00800000000001,Soft,McLaren
ALO,17,84.655,Soft,McLaren
ALO,18,83.64099999999999,Soft,McLaren
ALO,19,83.57849999999999,Soft,McLaren
ALO,20,83.423,Soft,McLaren
ALO,21,83.499,Soft,McLaren
ALO,22,83.5925,Soft,McLaren
ALO,23,83.4005,Soft,McLaren
ALO,24,83.4905,Soft,McLaren
ALO,25,83.4665,Soft,McLaren
ALO,26,83.926,Soft,McLaren
ALO,27,84.7745,Soft,McLaren
ALO,28,84.60499999999999,Soft,McLaren
ALO,29,82.84049999999999,Soft,McLaren
ALO,30,83.439,Soft,McLaren
ALO,31,83.516,Soft,McLaren
ALO,32,84.045,Soft,McLaren
ALO,33,83.7,Soft,McLaren
ALO,34,83.673,Soft,McLaren
ALO,35,83.283,Soft,McLaren
ALO,36,83.697,Soft,McLaren
ALO,37,83.531,Soft,McLaren
BOT,2,82.684,Soft,Mercedes
BOT,3,82.142,Soft,Mercedes
BOT,4,82.758,Soft,Mercedes
BOT,5,83.172,Soft,Mercedes
BOT,6,83.376,Soft,Mercedes
BOT,7,83.4645,ULTRASOFT,Mercedes
BOT,8,83.5275,ULTRASOFT,Mercedes
BOT,9,83.505,ULTRASOFT,Mercedes
BOT,10,83.34100000000001,ULTRASOFT,Mercedes
BOT,11,83.3315,ULTRASOFT,Mercedes
BOT,12,82.979,ULTRASOFT,Mercedes
BOT,13,83.399,ULTRASOFT,Mercedes
BOT,14,83.095,Soft,Mercedes
BOT,15,83.292,Soft,Mercedes
BOT,16,83.971,Soft,Mercedes
BOT,17,83.73,Soft,Mercedes
BOT,18,83.16,Soft,Mercedes
BOT,19,83.116,Soft,Mercedes
BOT,20,82.901,Soft,Mercedes
BOT,21,82.602,Soft,Mercedes
BOT,22,82.468,Soft,Mercedes
BOT,23,81.842,Soft,Mercedes
BOT,24,81.736,Soft,Mercedes
BOT,25,82.201,Soft,Mercedes
BOT,26,82.128,Soft,Mercedes
BOT,27,82.574,Soft,Mercedes
BOT,28,82.866,Soft,Mercedes
BOT,29,82.402,Soft,Mercedes
BOT,30,82.61,Soft,Mercedes
BOT,31,83.173,Soft,Mercedes
BOT,32,82.083,Soft,Mercedes
BOT,33,81.985,Soft,Mercedes
BOT,34,82.579,Soft,Mercedes
BOT,35,83.371,Soft,Mercedes
BOT,38,82.206,Soft,Mercedes
BOT,39,81.866,Soft,Mercedes
BOT,40,82.583,Soft,Mercedes
BOT,41,81.983,Soft,Mercedes
BOT,42,82.163,Soft,Mercedes
BOT,43,82.569,Soft,Mercedes
BOT,44,82.186,Soft,Mercedes
BOT,45,82.155,Soft,Mercedes
BOT,46,82.574,Soft,Mercedes
