Driver,TyreLife,AvgLapTime,Compound,Team
ALO,3,88.817,SUPERSOFT,McLaren
ALO,4,87.095,SUPERSOFT,McLaren
ALO,5,87.009,SUPERSOFT,McLaren
ALO,6,88.291,SUPERSOFT,McLaren
ALO,7,87.534,SUPERSOFT,McLaren
BOT,2,83.062,Soft,Mercedes
BOT,3,82.907,Soft,Mercedes
BOT,4,83.082,Soft,Mercedes
BOT,5,83.038,Soft,Mercedes
BOT,6,85.446,SUPERSOFT,Mercedes
BOT,7,86.828,SUPERSOFT,Mercedes
BOT,8,84.399,SUPERSOFT,Mercedes
BOT,9,84.0775,SUPERSOFT,Mercedes
BOT,10,84.056,SUPERSOFT,Mercedes
BOT,11,84.344,SUPERSOFT,Mercedes
BOT,12,84.542,SUPERSOFT,Mercedes
BOT,13,84.874,SUPERSOFT,Mercedes
BOT,14,84.36500000000001,SUPERSOFT,Mercedes
BOT,15,84.479,SUPERSOFT,Mercedes
BOT,16,84.3305,SUPERSOFT,Mercedes
BOT,17,84.77000000000001,SUPERSOFT,Mercedes
BOT,18,85.014,SUPERSOFT,Mercedes
BOT,19,84.915,SUPERSOFT,Mercedes
BOT,20,84.582,SUPERSOFT,Mercedes
BOT,21,85.291,SUPERSOFT,Mercedes
BOT,22,85.08,SUPERSOFT,Mercedes
BOT,23,85.169,SUPERSOFT,Mercedes
BOT,24,85.271,SUPERSOFT,Mercedes
BOT,25,85.325,SUPERSOFT,Mercedes
BOT,29,84.199,SUPERSOFT,Mercedes
BOT,30,84.359,SUPERSOFT,Mercedes
BOT,31,84.551,SUPERSOFT,Mercedes
BOT,32,84.37,SUPERSOFT,Mercedes
BOT,33,83.847,SUPERSOFT,Mercedes
BOT,34,84.157,SUPERSOFT,Mercedes
BOT,35,84.762,SUPERSOFT,Mercedes
BOT,36,84.56,SUPERSOFT,Mercedes
BOT,37,84.09,SUPERSOFT,Mercedes
ERI,2,83.768,SUPERSOFT,Sauber
ERI,3,85.63,SUPERSOFT,Sauber
ERI,4,85.6285,SUPERSOFT,Sauber
ERI,5,85.551,SUPERSOFT,Sauber
ERI,6,85.756,SUPERSOFT,Sauber
ERI,7,85.71600000000001,SUPERSOFT,Sauber
ERI,8,85.7835,SUPERSOFT,Sauber
ERI,9,85.7755,SUPERSOFT,Sauber
ERI,10,85.49199999999999,SUPERSOFT,Sauber
ERI,11,86.902,SUPERSOFT,Sauber
ERI,12,86.944,SUPERSOFT,Sauber
ERI,13,87.708,SUPERSOFT,Sauber
ERI,14,87.331,SUPERSOFT,Sauber
ERI,15,86.942,SUPERSOFT,Sauber
ERI,16,87.028,SUPERSOFT,Sauber
ERI,17,86.738,SUPERSOFT,Sauber
ERI,18,86.739,SUPERSOFT,Sauber
ERI,19,86.546,SUPERSOFT,Sauber
ERI,20,86.719,SUPERSOFT,Sauber
ERI,21,86.718,SUPERSOFT,Sauber
ERI,22,86.743,SUPERSOFT,Sauber
ERI,25,86.357,SUPERSOFT,Sauber
ERI,26,86.492,SUPERSOFT,Sauber
ERI,27,86.34,SUPERSOFT,Sauber
ERI,28,86.289,SUPERSOFT,Sauber
ERI,29,86.236,SUPERSOFT,Sauber
ERI,30,86.143,SUPERSOFT,Sauber
ERI,31,86.373,SUPERSOFT,Sauber
ERI,32,86.26,SUPERSOFT,Sauber
ERI,33,86.266,SUPERSOFT,Sauber
