Driver,TyreLife,AvgLapTime,Compound,Team
ALO,1,99.462,Soft,McLaren
ALO,2,96.0,Soft,McLaren
ALO,3,96.16,Medium,McLaren
ALO,4,95.767,Medium,McLaren
ALO,5,96.051,Medium,McLaren
ALO,6,96.162,Medium,McLaren
ALO,7,97.172,Medium,McLaren
ALO,8,98.658,Soft,McLaren
ALO,9,97.97749999999999,Soft,McLaren
ALO,10,98.01599999999999,Soft,McLaren
ALO,11,97.2355,Soft,McLaren
ALO,12,96.549,Soft,McLaren
ALO,13,97.911,Soft,McLaren
ALO,14,97.712,Soft,McLaren
ALO,15,97.429,Soft,McLaren
ALO,16,97.89150000000001,Soft,McLaren
ALO,17,96.53800000000001,Soft,McLaren
ALO,18,97.04650000000001,Soft,McLaren
ALO,19,97.744,Soft,McLaren
ALO,20,97.25049999999999,Soft,McLaren
ALO,21,97.41,Soft,McLaren
ALO,22,97.251,Soft,McLaren
ALO,23,97.277,Soft,McLaren
ALO,24,97.6255,Soft,McLaren
ALO,25,96.867,Medium,McLaren
ALO,26,97.46,Medium,McLaren
BOT,2,93.519,Medium,Mercedes
BOT,3,93.705,Medium,Mercedes
BOT,4,94.727,Soft,Mercedes
BOT,5,95.07249999999999,Soft,Mercedes
BOT,6,94.744,Medium,Mercedes
BOT,7,94.443,Medium,Mercedes
BOT,8,95.114,Medium,Mercedes
BOT,9,94.705,Medium,Mercedes
BOT,10,94.731,Medium,Mercedes
BOT,11,94.9045,Soft,Mercedes
BOT,12,94.612,Soft,Mercedes
BOT,13,94.7325,Soft,Mercedes
BOT,14,94.6985,Soft,Mercedes
BOT,15,95.45400000000001,Soft,Mercedes
BOT,16,95.59549999999999,Soft,Mercedes
BOT,17,95.343,Soft,Mercedes
BOT,18,95.246,Soft,Mercedes
BOT,19,95.213,Soft,Mercedes
BOT,20,94.9825,Soft,Mercedes
BOT,21,94.1115,Soft,Mercedes
BOT,22,95.423,Soft,Mercedes
BOT,23,93.715,Soft,Mercedes
BOT,24,94.512,Soft,Mercedes
BOT,25,93.861,Medium,Mercedes
BOT,26,93.271,Medium,Mercedes
BOT,27,93.512,Medium,Mercedes
BOT,28,93.904,Medium,Mercedes
BOT,29,95.274,Medium,Mercedes
BOT,30,93.437,Medium,Mercedes
ERI,1,99.295,Soft,Sauber
ERI,2,98.659,Soft,Sauber
ERI,4,98.864,Medium,Sauber
ERI,5,98.635,Medium,Sauber
ERI,6,99.514,Medium,Sauber
ERI,7,98.726,Medium,Sauber
ERI,8,98.617,Medium,Sauber
ERI,9,97.364,Medium,Sauber
ERI,10,96.869,Medium,Sauber
ERI,11,97.393,Medium,Sauber
ERI,12,97.757,Medium,Sauber
ERI,13,97.71,Medium,Sauber
ERI,14,97.51,Medium,Sauber
ERI,15,97.523,Medium,Sauber
ERI,16,97.485,Medium,Sauber
ERI,17,97.273,Medium,Sauber
ERI,18,97.524,Medium,Sauber
ERI,19,97.486,Medium,Sauber
ERI,20,97.566,Medium,Sauber
ERI,21,97.718,Medium,Sauber
ERI,22,97.608,Medium,Sauber
ERI,23,98.144,Medium,Sauber
ERI,24,99.358,Medium,Sauber
ERI,25,97.964,Medium,Sauber
ERI,26,97.152,Medium,Sauber
ERI,27,97.01,Medium,Sauber
ERI,28,97.542,Medium,Sauber
ERI,29,96.825,Medium,Sauber
ERI,30,97.954,Medium,Sauber
ERI,31,96.399,Medium,Sauber
ERI,32,96.503,Medium,Sauber
ERI,33,96.873,Medium,Sauber
ERI,37,97.519,Medium,Sauber
ERI,38,96.678,Medium,Sauber
ERI,39,99.413,Medium,Sauber
ERI,40,97.438,Medium,Sauber
ERI,41,98.685,Medium,Sauber
ERI,42,97.249,Medium,Sauber
ERI,43,97.203,Medium,Sauber
ERI,44,97.075,Medium,Sauber
ERI,45,97.255,Medium,Sauber
ERI,46,97.145,Medium,Sauber
ERI,47,97.5,Medium,Sauber
GAS,2,96.409,Soft,Toro Rosso
GAS,3,96.782,Soft,Toro Rosso
