Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,85.044,ULTRASOFT,McLaren
ALO,3,84.197,ULTRASOFT,McLaren
BOT,2,81.236,SUPERSOFT,Mercedes
BOT,3,81.571,SUPERSOFT,Mercedes
BOT,4,81.61,SUPERSOFT,Mercedes
BOT,5,80.50550000000001,SUPERSOFT,Mercedes
BOT,6,80.032,SUPERSOFT,Mercedes
BOT,7,81.81625,ULTRASOFT,Mercedes
BOT,8,81.35849999999999,ULTRASOFT,Mercedes
BOT,9,81.339,SUPERSOFT,Mercedes
BOT,10,81.675,SUPERSOFT,Mercedes
BOT,11,82.14125,ULTRASOFT,Mercedes
BOT,12,82.07166666666667,ULTRASOFT,Mercedes
BOT,13,82.26333333333334,ULTRASOFT,Mercedes
BOT,14,82.61533333333334,ULTRASOFT,Mercedes
BOT,15,82.76299999999999,ULTRASOFT,Mercedes
BOT,16,83.239,SUPERSOFT,Mercedes
BOT,17,83.2815,SUPERSOFT,Mercedes
BOT,18,81.591,SUPERSOFT,Mercedes
BOT,22,81.894,SUPERSOFT,Mercedes
BOT,23,81.64,SUPERSOFT,Mercedes
BOT,24,82.416,SUPERSOFT,Mercedes
BOT,25,81.485,SUPERSOFT,Mercedes
BOT,26,81.675,SUPERSOFT,Mercedes
BOT,27,82.082,SUPERSOFT,Mercedes
BOT,28,82.769,SUPERSOFT,Mercedes
BOT,29,81.58,SUPERSOFT,Mercedes
BOT,30,81.74,SUPERSOFT,Mercedes
BOT,31,82.2,SUPERSOFT,Mercedes
BOT,32,82.108,SUPERSOFT,Mercedes
BOT,33,81.921,SUPERSOFT,Mercedes
BOT,34,82.191,SUPERSOFT,Mercedes
BOT,35,82.25,SUPERSOFT,Mercedes
BOT,36,82.103,SUPERSOFT,Mercedes
ERI,2,82.44,SUPERSOFT,Sauber
ERI,3,84.597,SUPERSOFT,Sauber
ERI,4,83.468,SUPERSOFT,Sauber
ERI,5,83.525,HYPERSOFT,Sauber
ERI,6,83.82900000000001,HYPERSOFT,Sauber
ERI,7,83.763,SUPERSOFT,Sauber
ERI,8,87.166,SUPERSOFT,Sauber
ERI,9,83.693,HYPERSOFT,Sauber
ERI,10,84.023,HYPERSOFT,Sauber
ERI,11,85.2705,HYPERSOFT,Sauber
ERI,12,84.23949999999999,HYPERSOFT,Sauber
ERI,13,85.817,HYPERSOFT,Sauber
ERI,14,87.202,HYPERSOFT,Sauber
ERI,15,86.626,HYPERSOFT,Sauber
ERI,16,86.053,HYPERSOFT,Sauber
ERI,17,85.275,HYPERSOFT,Sauber
ERI,18,85.51650000000001,HYPERSOFT,Sauber
ERI,19,83.683,SUPERSOFT,Sauber
ERI,20,84.351,SUPERSOFT,Sauber
ERI,21,84.412,SUPERSOFT,Sauber
ERI,22,86.516,SUPERSOFT,Sauber
ERI,23,84.293,SUPERSOFT,Sauber
ERI,24,84.514,SUPERSOFT,Sauber
ERI,25,84.597,SUPERSOFT,Sauber
ERI,26,84.688,SUPERSOFT,Sauber
ERI,27,84.555,SUPERSOFT,Sauber
ERI,28,84.085,SUPERSOFT,Sauber
ERI,29,84.545,SUPERSOFT,Sauber
ERI,30,84.463,SUPERSOFT,Sauber
ERI,31,84.478,SUPERSOFT,Sauber
ERI,32,84.23,SUPERSOFT,Sauber
ERI,33,84.414,SUPERSOFT,Sauber
ERI,34,84.177,SUPERSOFT,Sauber
ERI,35,84.35,SUPERSOFT,Sauber
ERI,36,84.786,SUPERSOFT,Sauber
ERI,37,85.209,SUPERSOFT,Sauber
ERI,38,84.466,SUPERSOFT,Sauber
ERI,39,85.675,SUPERSOFT,Sauber
ERI,40,84.56,SUPERSOFT,Sauber
ERI,41,84.501,SUPERSOFT,Sauber
ERI,42,84.804,SUPERSOFT,Sauber
ERI,43,85.498,SUPERSOFT,Sauber
ERI,46,84.187,SUPERSOFT,Sauber
ERI,47,83.194,SUPERSOFT,Sauber
ERI,48,83.002,SUPERSOFT,Sauber
ERI,49,83.364,SUPERSOFT,Sauber
ERI,50,83.355,SUPERSOFT,Sauber
ERI,51,83.097,SUPERSOFT,Sauber
ERI,52,82.823,SUPERSOFT,Sauber
ERI,53,82.895,SUPERSOFT,Sauber
GAS,2,84.668,HYPERSOFT,Toro Rosso
GAS,3,84.1445,HYPERSOFT,Toro Rosso
GAS,4,82.896,SUPERSOFT,Toro Rosso
GAS,5,83.01,SUPERSOFT,Toro Rosso
GAS,6,83.5195,SUPERSOFT,Toro Rosso
GAS,7,83.97800000000001,SUPERSOFT,Toro Rosso
GAS,8,84.08449999999999,SUPERSOFT,Toro Rosso
GAS,9,83.965,SUPERSOFT,Toro Rosso
GAS,10,84.7325,SUPERSOFT,Toro Rosso
GAS,11,83.7135,SUPERSOFT,Toro Rosso
GAS,12,84.1745,SUPERSOFT,Toro Rosso
GAS,13,84.3885,SUPERSOFT,Toro Rosso
GAS,14,84.77850000000001,SUPERSOFT,Toro Rosso
GAS,15,84.616,SUPERSOFT,Toro Rosso
GAS,16,84.714,SUPERSOFT,Toro Rosso
GAS,17,84.75399999999999,SUPERSOFT,Toro Rosso
GAS,18,84.197,SUPERSOFT,Toro Rosso
GAS,19,85.577,SUPERSOFT,Toro Rosso
GAS,20,84.801,SUPERSOFT,Toro Rosso
GAS,21,83.698,SUPERSOFT,Toro Rosso
GAS,22,83.098,SUPERSOFT,Toro Rosso
GAS,23,83.63,SUPERSOFT,Toro Rosso
GAS,24,83.553,SUPERSOFT,Toro Rosso
GAS,25,85.826,SUPERSOFT,Toro Rosso
GAS,26,84.083,SUPERSOFT,Toro Rosso
GAS,27,83.32,SUPERSOFT,Toro Rosso
GAS,28,85.232,SUPERSOFT,Toro Rosso
GAS,29,84.203,SUPERSOFT,Toro Rosso
GAS,30,84.11,SUPERSOFT,Toro Rosso
GAS,31,83.97,SUPERSOFT,Toro Rosso
GAS,32,86.6,SUPERSOFT,Toro Rosso
GAS,33,84.248,SUPERSOFT,Toro Rosso
GAS,36,84.262,SUPERSOFT,Toro Rosso
GAS,37,83.515,SUPERSOFT,Toro Rosso
GAS,38,83.181,SUPERSOFT,Toro Rosso
GAS,39,83.509,SUPERSOFT,Toro Rosso
GAS,40,83.467,SUPERSOFT,Toro Rosso
GAS,41,83.004,SUPERSOFT,Toro Rosso
GAS,42,82.756,SUPERSOFT,Toro Rosso
GAS,43,82.755,SUPERSOFT,Toro Rosso
GRO,2,83.73899999999999,SUPERSOFT,Haas F1 Team
GRO,3,82.94166666666666,SUPERSOFT,Haas F1 Team
GRO,4,82.055,ULTRASOFT,Haas F1 Team
GRO,5,83.11449999999999,ULTRASOFT,Haas F1 Team
