Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,79.578,SUPERSOFT,McLaren
ALO,3,77.484,SUPERSOFT,McLaren
ALO,4,77.018,SUPERSOFT,McLaren
ALO,5,79.443,SUPERSOFT,McLaren
ALO,6,79.296,SUPERSOFT,McLaren
ALO,7,79.8215,HYPERSOFT,McLaren
ALO,8,79.52850000000001,HYPERSOFT,McLaren
ALO,9,79.3965,HYPERSOFT,McLaren
ALO,10,79.09200000000001,HYPERSOFT,McLaren
ALO,11,78.8965,HYPERSOFT,McLaren
ALO,12,79.032,HYPERSOFT,McLaren
ALO,13,78.8445,HYPERSOFT,McLaren
ALO,14,78.67,HYPERSOFT,McLaren
ALO,15,78.50899999999999,HYPERSOFT,McLaren
ALO,16,78.46600000000001,HYPERSOFT,McLaren
ALO,17,78.69,SUPERSOFT,McLaren
ALO,18,78.9265,HYPERSOFT,McLaren
ALO,19,79.41749999999999,HYPERSOFT,McLaren
ALO,20,78.985,HYPERSOFT,McLaren
ALO,21,79.4905,HYPERSOFT,McLaren
ALO,22,79.333,HYPERSOFT,McLaren
ALO,23,78.186,SUPERSOFT,McLaren
ALO,24,78.473,SUPERSOFT,McLaren
ALO,25,78.185,SUPERSOFT,McLaren
ALO,26,78.897,SUPERSOFT,McLaren
ALO,27,77.898,SUPERSOFT,McLaren
ALO,28,78.357,SUPERSOFT,McLaren
ALO,29,78.915,SUPERSOFT,McLaren
ALO,30,78.986,SUPERSOFT,McLaren
ALO,31,81.492,SUPERSOFT,McLaren
ALO,32,81.376,SUPERSOFT,McLaren
ALO,33,82.363,SUPERSOFT,McLaren
BOT,2,77.692,SUPERSOFT,Mercedes
BOT,3,76.55,SUPERSOFT,Mercedes
BOT,4,76.312,SUPERSOFT,Mercedes
BOT,5,77.999,SUPERSOFT,Mercedes
BOT,6,77.481,HYPERSOFT,Mercedes
BOT,7,77.6075,HYPERSOFT,Mercedes
BOT,8,77.67500000000001,HYPERSOFT,Mercedes
BOT,9,77.615,HYPERSOFT,Mercedes
BOT,10,77.932,HYPERSOFT,Mercedes
BOT,11,77.758,HYPERSOFT,Mercedes
BOT,12,78.072,HYPERSOFT,Mercedes
BOT,13,77.94149999999999,HYPERSOFT,Mercedes
BOT,14,78.399,HYPERSOFT,Mercedes
BOT,15,78.94999999999999,HYPERSOFT,Mercedes
BOT,16,79.958,SUPERSOFT,Mercedes
BOT,17,79.015,SUPERSOFT,Mercedes
BOT,18,79.311,HYPERSOFT,Mercedes
BOT,19,79.2225,HYPERSOFT,Mercedes
BOT,20,79.056,SUPERSOFT,Mercedes
BOT,21,78.292,SUPERSOFT,Mercedes
BOT,22,78.829,SUPERSOFT,Mercedes
BOT,23,80.506,SUPERSOFT,Mercedes
BOT,24,79.479,SUPERSOFT,Mercedes
BOT,25,79.362,SUPERSOFT,Mercedes
BOT,26,79.167,SUPERSOFT,Mercedes
BOT,27,79.495,SUPERSOFT,Mercedes
BOT,28,79.421,SUPERSOFT,Mercedes
BOT,29,79.695,SUPERSOFT,Mercedes
BOT,30,79.292,SUPERSOFT,Mercedes
BOT,31,79.497,SUPERSOFT,Mercedes
BOT,32,79.172,SUPERSOFT,Mercedes
BOT,33,78.727,SUPERSOFT,Mercedes
BOT,34,79.331,SUPERSOFT,Mercedes
BOT,35,79.547,SUPERSOFT,Mercedes
BOT,38,79.238,SUPERSOFT,Mercedes
BOT,39,79.339,SUPERSOFT,Mercedes
BOT,40,78.98,SUPERSOFT,Mercedes
BOT,41,78.805,SUPERSOFT,Mercedes
BOT,42,78.717,SUPERSOFT,Mercedes
BOT,43,78.516,SUPERSOFT,Mercedes
BOT,44,78.948,SUPERSOFT,Mercedes
BOT,45,78.255,SUPERSOFT,Mercedes
BOT,46,78.297,SUPERSOFT,Mercedes
BOT,47,78.434,SUPERSOFT,Mercedes
BOT,48,78.637,SUPERSOFT,Mercedes
BOT,49,78.497,SUPERSOFT,Mercedes
BOT,50,79.713,SUPERSOFT,Mercedes
BOT,51,78.476,SUPERSOFT,Mercedes
BOT,52,78.439,SUPERSOFT,Mercedes
BOT,53,78.146,SUPERSOFT,Mercedes
BOT,54,78.134,SUPERSOFT,Mercedes
BOT,58,77.741,SUPERSOFT,Mercedes
BOT,59,78.053,SUPERSOFT,Mercedes
BOT,60,78.087,SUPERSOFT,Mercedes
