Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,82.945,Medium,McLaren
ALO,3,83.559,Medium,McLaren
ALO,4,84.482,Medium,McLaren
ALO,5,82.594,Medium,McLaren
ALO,6,82.669,Medium,McLaren
ALO,7,82.876,Medium,McLaren
ALO,8,84.137,Medium,McLaren
ALO,9,85.699,SUPERSOFT,McLaren
ALO,10,84.993,SUPERSOFT,McLaren
ALO,11,84.889,SUPERSOFT,McLaren
ALO,12,83.59299999999999,SUPERSOFT,McLaren
ALO,13,83.61,SUPERSOFT,McLaren
ALO,14,83.74950000000001,SUPERSOFT,McLaren
ALO,15,84.077,SUPERSOFT,McLaren
ALO,16,84.0895,SUPERSOFT,McLaren
ALO,17,83.4685,SUPERSOFT,McLaren
ALO,18,83.982,SUPERSOFT,McLaren
ALO,19,84.023,SUPERSOFT,McLaren
ALO,20,83.631,SUPERSOFT,McLaren
ALO,21,83.553,SUPERSOFT,McLaren
ALO,22,83.944,SUPERSOFT,McLaren
ALO,23,82.496,Medium,McLaren
ALO,24,82.195,Medium,McLaren
ALO,25,82.165,Medium,McLaren
ALO,26,81.959,Medium,McLaren
ALO,27,82.466,Medium,McLaren
ALO,28,84.447,Medium,McLaren
ALO,29,81.723,Medium,McLaren
ALO,30,82.073,Medium,McLaren
ALO,31,81.559,Medium,McLaren
ALO,32,81.79,Medium,McLaren
ALO,33,81.308,Medium,McLaren
ALO,34,81.295,Medium,McLaren
ALO,35,81.84,Medium,McLaren
ALO,36,81.854,Medium,McLaren
ALO,37,81.945,Medium,McLaren
ALO,38,82.337,Medium,McLaren
ALO,39,82.316,Medium,McLaren
ALO,40,81.196,Medium,McLaren
ALO,41,80.97,Medium,McLaren
ALO,42,80.856,Medium,McLaren
ALO,43,80.727,Medium,McLaren
ALO,44,81.059,Medium,McLaren
BOT,2,80.402,Medium,Mercedes
BOT,3,81.347,Medium,Mercedes
BOT,4,81.182,Medium,Mercedes
BOT,5,81.249,Medium,Mercedes
BOT,6,81.347,Medium,Mercedes
BOT,7,80.94,Medium,Mercedes
BOT,8,80.857,Medium,Mercedes
BOT,9,82.4995,Soft,Mercedes
BOT,10,82.382,Soft,Mercedes
BOT,11,81.87899999999999,Soft,Mercedes
BOT,12,82.15100000000001,Soft,Mercedes
BOT,13,81.544,Soft,Mercedes
BOT,14,81.725,Soft,Mercedes
BOT,15,81.4995,Soft,Mercedes
BOT,16,81.66149999999999,Soft,Mercedes
BOT,17,81.64150000000001,Soft,Mercedes
BOT,18,81.66900000000001,Soft,Mercedes
BOT,19,81.57050000000001,Soft,Mercedes
BOT,20,81.375,Soft,Mercedes
BOT,25,81.378,Medium,Mercedes
BOT,26,79.944,Medium,Mercedes
BOT,27,80.24,Medium,Mercedes
BOT,28,80.381,Medium,Mercedes
BOT,29,81.942,Medium,Mercedes
BOT,30,79.828,Medium,Mercedes
BOT,31,80.492,Medium,Mercedes
BOT,32,79.924,Medium,Mercedes
BOT,33,79.987,Medium,Mercedes
BOT,34,80.092,Medium,Mercedes
BOT,35,79.946,Medium,Mercedes
BOT,36,79.837,Medium,Mercedes
BOT,37,79.478,Medium,Mercedes
BOT,38,79.94,Medium,Mercedes
BOT,39,80.098,Medium,Mercedes
BOT,40,80.169,Medium,Mercedes
BOT,41,80.006,Medium,Mercedes
BOT,42,79.819,Medium,Mercedes
BOT,43,79.872,Medium,Mercedes
BOT,44,80.058,Medium,Mercedes
BOT,45,80.421,Medium,Mercedes
BOT,46,81.13,Medium,Mercedes
BOT,47,80.478,Medium,Mercedes
ERI,2,82.712,Soft,Sauber
ERI,3,84.011,Soft,Sauber
ERI,7,85.14500000000001,Medium,Sauber
ERI,8,84.5295,Medium,Sauber
ERI,9,84.304,Medium,Sauber
ERI,10,84.102,Medium,Sauber
ERI,11,83.9915,Medium,Sauber
ERI,12,84.0515,Medium,Sauber
ERI,13,84.4875,Medium,Sauber
ERI,14,83.5985,Medium,Sauber
ERI,15,83.61949999999999,Medium,Sauber
ERI,16,83.7675,Medium,Sauber
ERI,17,83.827,Medium,Sauber
