Driver,TyreLife,AvgLapTime,Compound,Team
BOT,2,100.09,Soft,Mercedes
BOT,3,99.5,Soft,Mercedes
BOT,4,99.819,Soft,Mercedes
BOT,5,100.8985,SUPERSOFT,Mercedes
BOT,6,99.954,Soft,Mercedes
BOT,7,100.578,SUPERSOFT,Mercedes
BOT,8,100.58500000000001,SUPERSOFT,Mercedes
BOT,9,100.432,SUPERSOFT,Mercedes
BOT,10,100.1285,SUPERSOFT,Mercedes
BOT,11,100.00550000000001,SUPERSOFT,Mercedes
BOT,12,99.336,Soft,Mercedes
BOT,13,99.968,Soft,Mercedes
BOT,14,99.171,Soft,Mercedes
BOT,15,100.385,Soft,Mercedes
BOT,16,99.8195,SUPERSOFT,Mercedes
BOT,17,102.1805,SUPERSOFT,Mercedes
BOT,18,100.0035,SUPERSOFT,Mercedes
BOT,19,99.51400000000001,SUPERSOFT,Mercedes
BOT,20,99.727,SUPERSOFT,Mercedes
BOT,21,100.3335,SUPERSOFT,Mercedes
BOT,22,100.54400000000001,SUPERSOFT,Mercedes
BOT,23,99.735,SUPERSOFT,Mercedes
BOT,24,99.911,SUPERSOFT,Mercedes
BOT,25,99.76050000000001,SUPERSOFT,Mercedes
BOT,26,99.294,Soft,Mercedes
BOT,27,98.958,Soft,Mercedes
BOT,28,98.953,Soft,Mercedes
BOT,29,99.616,Soft,Mercedes
BOT,30,99.843,Soft,Mercedes
BOT,31,100.459,Soft,Mercedes
BOT,32,103.336,Soft,Mercedes
BOT,33,102.673,Soft,Mercedes
ERI,2,102.739,Soft,Sauber
ERI,3,100.098,SUPERSOFT,Sauber
ERI,4,102.043,Soft,Sauber
ERI,5,102.37950000000001,Soft,Sauber
ERI,6,103.042,Soft,Sauber
ERI,7,102.1435,Soft,Sauber
ERI,8,102.999,Soft,Sauber
ERI,9,102.027,SUPERSOFT,Sauber
ERI,10,100.599,SUPERSOFT,Sauber
ERI,11,101.964,SUPERSOFT,Sauber
ERI,12,101.082,Soft,Sauber
ERI,13,101.4355,Soft,Sauber
ERI,14,102.98400000000001,Soft,Sauber
ERI,15,101.42750000000001,Soft,Sauber
ERI,16,101.63550000000001,Soft,Sauber
ERI,17,101.411,Soft,Sauber
ERI,18,101.3615,Soft,Sauber
ERI,19,101.327,Soft,Sauber
ERI,20,101.32650000000001,Soft,Sauber
ERI,21,101.5275,Soft,Sauber
ERI,22,101.504,Soft,Sauber
ERI,23,101.555,Soft,Sauber
ERI,24,101.9915,Soft,Sauber
ERI,25,101.836,Soft,Sauber
ERI,26,104.435,Soft,Sauber
ERI,27,103.112,Soft,Sauber
ERI,28,103.964,Soft,Sauber
ERI,29,103.227,Soft,Sauber
GAS,2,101.96966666666667,SUPERSOFT,Toro Rosso
GAS,3,100.68549999999999,Soft,Toro Rosso
GAS,4,102.45,SUPERSOFT,Toro Rosso
GAS,5,102.02566666666667,SUPERSOFT,Toro Rosso
GAS,6,102.29766666666667,SUPERSOFT,Toro Rosso
GAS,7,102.14966666666668,SUPERSOFT,Toro Rosso
GAS,8,102.419,SUPERSOFT,Toro Rosso
GAS,9,101.5815,Soft,Toro Rosso
GAS,10,101.95349999999999,Soft,Toro Rosso
GAS,11,101.92750000000001,Soft,Toro Rosso
GAS,12,101.8925,Soft,Toro Rosso
GAS,13,102.941,Soft,Toro Rosso
GAS,14,102.1105,Soft,Toro Rosso
GAS,15,102.2215,Soft,Toro Rosso
GAS,16,101.9875,Soft,Toro Rosso
GAS,17,102.259,Soft,Toro Rosso
GAS,18,102.491,Soft,Toro Rosso
GAS,19,102.18100000000001,Soft,Toro Rosso
GAS,20,102.772,Soft,Toro Rosso
GAS,21,103.084,Soft,Toro Rosso
GAS,22,102.711,Soft,Toro Rosso
GAS,23,102.484,Soft,Toro Rosso
GAS,24,103.066,Soft,Toro Rosso
GAS,25,106.344,Soft,Toro Rosso
