Driver,TyreLife,AvgLapTime,Compound,Team
ALB,2,91.49449999999999,Soft,Toro Rosso
ALB,3,90.555,Soft,Toro Rosso
ALB,4,90.61250000000001,Soft,Toro Rosso
ALB,5,90.39500000000001,Soft,Toro Rosso
ALB,6,90.75550000000001,Soft,Toro Rosso
ALB,7,90.63550000000001,Soft,Toro Rosso
ALB,8,90.62049999999999,Soft,Toro Rosso
ALB,9,90.92750000000001,Soft,Toro Rosso
ALB,10,90.5995,Soft,Toro Rosso
ALB,11,91.0685,Soft,Toro Rosso
ALB,12,92.071,Soft,Toro Rosso
ALB,13,91.5955,Soft,Toro Rosso
ALB,14,90.335,Medium,Toro Rosso
ALB,15,89.927,Medium,Toro Rosso
ALB,17,90.207,Medium,Toro Rosso
ALB,18,89.457,Medium,Toro Rosso
ALB,19,89.376,Medium,Toro Rosso
ALB,20,89.265,Medium,Toro Rosso
ALB,21,90.648,Medium,Toro Rosso
ALB,22,89.308,Medium,Toro Rosso
ALB,23,89.302,Medium,Toro Rosso
ALB,24,89.168,Medium,Toro Rosso
ALB,25,89.015,Medium,Toro Rosso
ALB,26,88.765,Medium,Toro Rosso
ALB,27,88.595,Medium,Toro Rosso
ALB,28,88.491,Medium,Toro Rosso
ALB,29,88.188,Medium,Toro Rosso
ALB,30,88.897,Medium,Toro Rosso
ALB,31,89.106,Medium,Toro Rosso
ALB,32,88.835,Medium,Toro Rosso
ALB,33,88.944,Medium,Toro Rosso
ALB,34,89.79,Medium,Toro Rosso
ALB,35,93.487,Medium,Toro Rosso
ALB,36,89.708,Medium,Toro Rosso
ALB,37,89.275,Medium,Toro Rosso
ALB,38,89.853,Medium,Toro Rosso
ALB,39,89.939,Medium,Toro Rosso
ALB,40,89.74,Medium,Toro Rosso
ALB,41,89.659,Medium,Toro Rosso
ALB,42,90.894,Medium,Toro Rosso
ALB,43,91.073,Medium,Toro Rosso
BOT,2,87.338,Medium,Mercedes
BOT,3,87.45,Medium,Mercedes
BOT,4,87.757,Medium,Mercedes
BOT,5,88.5865,Soft,Mercedes
BOT,6,88.4525,Soft,Mercedes
BOT,7,88.089,Soft,Mercedes
BOT,8,88.759,Soft,Mercedes
BOT,9,88.15,Soft,Mercedes
BOT,10,88.07249999999999,Soft,Mercedes
BOT,11,88.289,Soft,Mercedes
BOT,12,88.137,Soft,Mercedes
BOT,13,88.2465,Soft,Mercedes
BOT,14,88.04650000000001,Soft,Mercedes
BOT,15,87.99549999999999,Soft,Mercedes
BOT,16,88.1805,Soft,Mercedes
BOT,17,87.78649999999999,Soft,Mercedes
BOT,18,87.63,Soft,Mercedes
BOT,19,87.4885,Soft,Mercedes
BOT,20,87.887,Soft,Mercedes
BOT,21,87.8715,Soft,Mercedes
BOT,22,87.708,Soft,Mercedes
BOT,23,87.66149999999999,Soft,Mercedes
BOT,24,87.56899999999999,Soft,Mercedes
BOT,25,87.8575,Soft,Mercedes
BOT,26,87.071,Medium,Mercedes
BOT,27,87.238,Medium,Mercedes
BOT,28,88.09,Medium,Mercedes
BOT,29,89.226,Medium,Mercedes
BOT,30,87.172,Medium,Mercedes
BOT,31,87.608,Medium,Mercedes
BOT,32,86.83,Medium,Mercedes
BOT,33,88.732,Medium,Mercedes
BOT,34,85.58,Medium,Mercedes
BOT,35,88.161,Medium,Mercedes
GAS,2,89.407,Medium,Red Bull Racing
GAS,3,89.486,Medium,Red Bull Racing
GAS,4,90.138,Medium,Red Bull Racing
GAS,5,90.28800000000001,Medium,Red Bull Racing
